iter	Passed	Remaining
0	1	179
1	3	170
2	4	159
3	6	152
4	7	146
5	8	139
6	10	139
7	11	134
8	13	134
9	15	137
10	16	135
11	18	133
12	19	130
13	20	127
14	21	124
15	23	121
16	24	119
17	25	116
18	27	115
19	28	112
20	29	109
21	30	106
22	31	104
23	32	101
24	33	100
25	34	99
26	36	97
27	37	95
28	38	94
29	39	92
30	41	91
31	42	90
32	44	89
33	45	87
34	46	86
35	47	84
36	48	83
37	50	82
38	51	80
39	53	79
40	54	78
41	54	75
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	61	66
48	63	65
49	64	64
50	65	62
51	66	61
52	67	60
53	68	58
54	69	57
55	70	55
56	71	54
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
